architecture,year,hours,field,heldout_nrmse,full_nrmse,heldout_minus_full,full_gain_pct,delta_ci95_low,delta_ci95_median,delta_ci95_high,bootstrap_draws_full_not_better,bootstrap_tail_probability_full_not_better,bootstrap_probability_at_floor,comparability
WeatherBridge,2021,held_out_hours,V700,0.2667268372792039,0.24345450105493563,0.023272336224268247,8.725157341369167,0.023126973948515473,0.023270240903271858,0.023415713966471133,0,0.0001999600079984003,True,optimizer_budget_and_seed_matched
WeatherBridge,2021,held_out_hours,Q1000,0.030237979288194473,0.02795202832822022,0.0022859509599742547,7.559866809177744,0.0022650230704073454,0.002286143114303578,0.002306864014660684,0,0.0001999600079984003,True,optimizer_budget_and_seed_matched
WeatherBridge,2021,held_out_hours,Q925,0.047750545433866504,0.0451981931606126,0.0025523522732539064,5.34517930646229,0.0025284760598897438,0.002552540873046915,0.0025755836583379018,0,0.0001999600079984003,True,optimizer_budget_and_seed_matched
WeatherBridge,2021,held_out_hours,Q850,0.06213009341134793,0.058970919139921404,0.003159174271426528,5.0847730913752525,0.003136228225528894,0.003159356397971963,0.0031826111442305417,0,0.0001999600079984003,True,optimizer_budget_and_seed_matched
WeatherBridge,2021,held_out_hours,Q700,0.08290127447868033,0.08047948316506062,0.002421791313619706,2.9212956361032987,0.0023943463604605706,0.0024219521796990384,0.0024497865489034325,0,0.0001999600079984003,True,optimizer_budget_and_seed_matched
WeatherBridge,2021,held_out_hours,Z1000,0.027516266841431068,0.022553716320124626,0.004962550521306442,18.034970186560194,0.0049151478102424815,0.004961845081631937,0.005008115058127006,0,0.0001999600079984003,True,optimizer_budget_and_seed_matched
WeatherBridge,2021,held_out_hours,Z925,0.021753807301254466,0.017729408178049688,0.004024399123204778,18.499746124774695,0.003983192742990077,0.004023824202432046,0.004063540085366117,0,0.0001999600079984003,True,optimizer_budget_and_seed_matched
WeatherBridge,2021,held_out_hours,Z850,0.01688866398139415,0.013761057137147169,0.003127606844246983,18.51897135079835,0.0030957414816342194,0.003127214383494975,0.0031582451290364843,0,0.0001999600079984003,True,optimizer_budget_and_seed_matched
WeatherBridge,2021,held_out_hours,Z700,0.01094589581235183,0.008913400974336658,0.002032494838015172,18.568556405603786,0.0020124198804665062,0.0020322719017661275,0.0020515482298702884,0,0.0001999600079984003,True,optimizer_budget_and_seed_matched
WeatherBridge,2021,held_out_hours,t2m,0.028036164219304598,0.023812020408877463,0.004224143810427135,15.06676796934495,0.004167936940886782,0.0042241084167802,0.004278816091279444,0,0.0001999600079984003,True,optimizer_budget_and_seed_matched
WeatherBridge,2021,held_out_hours,u10,0.08414171200255724,0.07753643485493798,0.006605277147619257,7.850181545412945,0.006567795179276187,0.006605634436890724,0.0066438163342208536,0,0.0001999600079984003,True,optimizer_budget_and_seed_matched
WeatherBridge,2021,held_out_hours,v10,0.14399201684241536,0.13116330204296717,0.012828714799448193,8.909323642218247,0.012743476824186079,0.012828508719446866,0.0129091226514476,0,0.0001999600079984003,True,optimizer_budget_and_seed_matched
WeatherBridge,2021,held_out_hours,mslp,0.027838454042161533,0.023017017382880943,0.00482143665928059,17.31934054950929,0.004775913873480706,0.0048207656235239385,0.004865193762165474,0,0.0001999600079984003,True,optimizer_budget_and_seed_matched
WeatherDCAE-14M,2020,trained_hours,T1000,0.016480338843728348,0.01577292624586905,0.0007074125978592978,4.292463914529926,0.0007000459497310707,0.000707412884065119,0.0007146801970605787,0,0.0001999600079984003,True,same_seed_full_has_more_optimizer_steps
WeatherDCAE-14M,2020,trained_hours,T925,0.018344475854739386,0.01753473144886115,0.0008097444058782349,4.414104890704923,0.0008045791844163096,0.0008097769492885938,0.0008151859993388738,0,0.0001999600079984003,True,same_seed_full_has_more_optimizer_steps
WeatherDCAE-14M,2020,trained_hours,T850,0.02104824223702433,0.019894370997606197,0.001153871239418132,5.482031356463803,0.001145757206206186,0.0011539308173747712,0.001162278632720747,0,0.0001999600079984003,True,same_seed_full_has_more_optimizer_steps
WeatherDCAE-14M,2020,trained_hours,T700,0.018769736858542982,0.01810533961610615,0.0006643972424368316,3.539725929265937,0.0006579286214316761,0.0006644464115586994,0.0006710557182913158,0,0.0001999600079984003,True,same_seed_full_has_more_optimizer_steps
WeatherDCAE-14M,2020,trained_hours,U1000,0.069361326037489,0.06524871262005551,0.004112613417433492,5.929260082499967,0.004089211821751387,0.004112287651436786,0.004137285113944206,0,0.0001999600079984003,True,same_seed_full_has_more_optimizer_steps
WeatherDCAE-14M,2020,trained_hours,U925,0.06713425205861041,0.06310375683328583,0.004030495225324587,6.003634660003112,0.004006805452601617,0.004030083510464001,0.004055298576326912,0,0.0001999600079984003,True,same_seed_full_has_more_optimizer_steps
